PACC_ANIO;PACC_MES;DPA_PROVINCIA;DPA_CANTON;PACC_PRODUCTO;PACC_PRESENTACION;PACC_TIPO;PACC_PRECIO_USD;PACC_USD_KG
2012;Enero;El Oro;Arenillas;Cacao seco mezclado;Quintal de 100,00 libras;Compra;71.41;1.57
2012;Enero;El Oro;Arenillas;Cacao seco mezclado;Quintal de 100,00 libras;Venta;74.06;1.63
2012;Enero;El Oro;El Guabo;Cacao seco mezclado;Quintal de 100,00 libras;Compra;73.75;1.63
2012;Enero;El Oro;El Guabo;Cacao seco mezclado;Quintal de 100,00 libras;Venta;84.00;1.85
2012;Enero;El Oro;Machala;Cacao seco mezclado;Quintal de 100,00 libras;Compra;75.00;1.65
2012;Enero;El Oro;Machala;Cacao seco mezclado;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;El Oro;Pasaje;Cacao seco mezclado;Quintal de 100,00 libras;Compra;76.50;1.69
2012;Enero;El Oro;Pasaje;Cacao seco mezclado;Quintal de 100,00 libras;Venta;79.00;1.74
2012;Enero;El Oro;Santa Rosa;Cacao seco mezclado;Quintal de 100,00 libras;Compra;75.00;1.65
2012;Enero;El Oro;Santa Rosa;Cacao seco mezclado;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Esmeraldas;Quinindé;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;79.33;1.75
2012;Enero;Esmeraldas;Quinindé;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;85.25;1.88
2012;Enero;Esmeraldas;Quinindé;Cacao seco mezclado;Quintal de 100,00 libras;Compra;79.33;1.75
2012;Enero;Esmeraldas;Quinindé;Cacao seco mezclado;Quintal de 100,00 libras;Venta;85.25;1.88
2012;Enero;Esmeraldas;Quinindé;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;28.33;0.62
2012;Enero;Esmeraldas;Quinindé;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;28.89;0.64
2012;Enero;Esmeraldas;Quinindé;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;28.89;0.64
2012;Enero;Esmeraldas;Quinindé;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;79.89;1.76
2012;Enero;Esmeraldas;Quinindé;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;85.25;1.88
2012;Enero;Guayas;El Triunfo;Cacao seco mezclado;Quintal de 100,00 libras;Compra;83.00;1.83
2012;Enero;Guayas;El Triunfo;Cacao seco mezclado;Quintal de 100,00 libras;Venta;85.00;1.87
2012;Enero;Guayas;Milagro;Cacao seco mezclado;Quintal de 100,00 libras;Compra;82.00;1.81
2012;Enero;Guayas;Milagro;Cacao seco mezclado;Quintal de 100,00 libras;Venta;85.00;1.87
2012;Enero;Guayas;Naranjito;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;77.00;1.70
2012;Enero;Guayas;Naranjito;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Guayas;Naranjito;Cacao seco mezclado;Quintal de 100,00 libras;Compra;77.00;1.70
2012;Enero;Guayas;Naranjito;Cacao seco mezclado;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Guayas;Naranjito;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Guayas;Naranjito;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;77.00;1.70
2012;Enero;Guayas;San Jacinto De Yaguachi                                                           ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;40.00;0.88
2012;Enero;Guayas;Simón Bolívar;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;76.50;1.69
2012;Enero;Guayas;Simón Bolívar;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Guayas;Simón Bolívar;Cacao seco mezclado;Quintal de 100,00 libras;Compra;78.50;1.73
2012;Enero;Guayas;Simón Bolívar;Cacao seco mezclado;Quintal de 100,00 libras;Venta;82.00;1.81
2012;Enero;Guayas;Simón Bolívar;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;76.50;1.69
2012;Enero;Guayas;Simón Bolívar;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Los Rios;Buena Fe;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;75.00;1.65
2012;Enero;Los Rios;Buena Fe;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Los Rios;Buena Fe;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Los Rios;Buena Fe;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Los Rios;Buena Fe;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;75.00;1.65
2012;Enero;Los Rios;Buena Fe;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Manabí;Bolivar;Cacao seco mezclado;Quintal de 100,00 libras;Compra;78.00;1.72
2012;Enero;Manabí;Bolivar;Cacao seco mezclado;Quintal de 100,00 libras;Venta;85.00;1.87
2012;Enero;Manabí;Bolivar;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;37.00;0.82
2012;Enero;Manabí;Bolivar;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;93.00;2.05
2012;Enero;Manabí;Bolivar;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;110.00;2.42
2012;Enero;Manabí;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;80.00;1.76
2012;Enero;Manabí;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;86.00;1.90
2012;Enero;Manabí;Chone ;Cacao seco mezclado;Quintal de 100,00 libras;Compra;75.00;1.65
2012;Enero;Manabí;Chone ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;84.00;1.85
2012;Enero;Manabí;Chone ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;30.00;0.66
2012;Enero;Manabí;Chone ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;35.00;0.77
2012;Enero;Manabí;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Manabí;Chone ;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;85.00;1.87
2012;Enero;Manabí;Chone ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;91.00;2.01
2012;Enero;Manabí;Flavio Alfaro ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Manabí;Flavio Alfaro ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;32.00;0.71
2012;Enero;Manabí;Flavio Alfaro ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;28.00;0.62
2012;Enero;Manabí;Flavio Alfaro ;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;80.00;1.76
2012;Enero;Manabí;Flavio Alfaro ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;82.00;1.81
2012;Enero;Manabí;Portoviejo ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;30.00;0.66
2012;Enero;Manabí;Portoviejo ;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;72.33;1.59
2012;Enero;Manabí;Portoviejo ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;79.00;1.74
2012;Enero;Morona Santiago;Palora ;Cacao seco mezclado;Quintal de 100,00 libras;Compra;90.00;1.98
2012;Enero;Morona Santiago;Palora ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;100.00;2.20
2012;Enero;Morona Santiago;Santiago ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;50.00;1.10
2012;Enero;Morona Santiago;Santiago ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;90.00;1.98
2012;Enero;Napo;Archidona ;Cacao seco mezclado;Quintal de 100,00 libras;Compra;65.00;1.43
2012;Enero;Napo;Archidona ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;87.00;1.92
2012;Enero;Napo;Archidona ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;32.00;0.71
2012;Enero;Napo;Tena  ;Cacao seco mezclado;Quintal de 100,00 libras;Compra;68.57;1.51
2012;Enero;Napo;Tena  ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;80.00;1.76
2012;Enero;Napo;Tena  ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Napo;Tena  ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;21.43;0.47
2012;Enero;Napo;Tena  ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;75.00;1.65
2012;Enero;Orellana;La Joya De Los Sachas;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;68.14;1.50
2012;Enero;Orellana;La Joya De Los Sachas;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;74.60;1.64
2012;Enero;Orellana;La Joya De Los Sachas;Cacao seco mezclado;Quintal de 100,00 libras;Compra;69.00;1.52
2012;Enero;Orellana;La Joya De Los Sachas;Cacao seco mezclado;Quintal de 100,00 libras;Venta;72.00;1.59
2012;Enero;Orellana;La Joya De Los Sachas;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Orellana;La Joya De Los Sachas;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Orellana;La Joya De Los Sachas;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;23.00;0.51
2012;Enero;Orellana;La Joya De Los Sachas;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;68.14;1.50
2012;Enero;Orellana;La Joya De Los Sachas;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;74.60;1.64
2012;Enero;Pichincha;Pedro Vicente Maldonado;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;72.00;1.59
2012;Enero;Pichincha;Pedro Vicente Maldonado;Cacao seco mezclado;Quintal de 100,00 libras;Venta;72.00;1.59
2012;Enero;Pichincha;Pedro Vicente Maldonado;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;22.00;0.48
2012;Enero;Pichincha;Pedro Vicente Maldonado;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;22.00;0.48
2012;Enero;Pichincha;Pedro Vicente Maldonado;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;70.00;1.54
2012;Enero;Pichincha;Puerto Quito;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;72.00;1.59
2012;Enero;Pichincha;Puerto Quito;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;72.00;1.59
2012;Enero;Pichincha;Puerto Quito;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;22.00;0.48
2012;Enero;Pichincha;Puerto Quito;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;27.33;0.60
2012;Enero;Pichincha;Puerto Quito;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;25.00;0.55
2012;Enero;Pichincha;Puerto Quito;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;77.50;1.71
2012;Enero;Pichincha;Puerto Quito;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;81.75;1.80
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;79.00;1.74
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;87.14;1.92
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao seco mezclado;Quintal de 100,00 libras;Compra;71.44;1.57
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao seco mezclado;Quintal de 100,00 libras;Venta;75.95;1.67
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;29.83;0.66
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;29.83;0.66
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;29.70;0.65
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;79.00;1.74
2012;Enero;Santo Domingo De Los Tsáchilas;Santo Domingo  ;Cacao seco fino de aroma;Quintal de 100,00 libras;Venta;87.14;1.92
2012;Enero;Sucumbios;Cascales;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;68.00;1.50
2012;Enero;Sucumbios;Cascales;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;23.00;0.51
2012;Enero;Sucumbios;Cascales;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;23.00;0.51
2012;Enero;Sucumbios;Cascales;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;68.00;1.50
2012;Enero;Sucumbios;Lago Agrio;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;77.33;1.70
2012;Enero;Sucumbios;Lago Agrio;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;23.00;0.51
2012;Enero;Sucumbios;Lago Agrio;Cacao en Baba fino de aroma;Quintal de 100,00 libras;Compra;25.33;0.56
2012;Enero;Sucumbios;Lago Agrio;Cacao seco fino de aroma;Quintal de 100,00 libras;Compra;77.33;1.70
2012;Febrero;El Oro;Arenillas;Cacao seco mezclado;Quintal de 100,00 libras;Compra;73.88;1.63
2012;Febrero;El Oro;Arenillas;Cacao seco mezclado;Quintal de 100,00 libras;Venta;76.31;1.68
2012;Febrero;El Oro;Machala;Cacao seco mezclado;Quintal de 100,00 libras;Compra;81.67;1.80
2012;Febrero;El Oro;Machala;Cacao seco mezclado;Quintal de 100,00 libras;Venta;86.67;1.91
2012;Febrero;El Oro;Pasaje;Cacao seco mezclado;Quintal de 100,00 libras;Compra;79.33;1.75
2012;Febrero;El Oro;Pasaje;Cacao seco mezclado;Quintal de 100,00 libras;Venta;83.33;1.84
