AÑO,MES,DIA,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARR_1,DPA_DESP_1,longitud,latitud,X,Y,No.,Codigo en,Fuente Sec,Fuente Pri,EVENTO,SUBCATEGOR,CAUSA/DISP,Descripcio,SECTOR / B,OBSERVACIO,GRAVEDAD,Intensidad,Notas,# Muertos,#Heridos,#Desaparec,#Damnifica
1900,3,21,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.50222,-0.21665,778027,9976031,1,Peltre_1,Peltre 1989,El Progreso,Inundacion,,Lluvia,,La Alameda,"Daños en varias caa,  caidas de redes telefonicas","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1900,5,19,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51142,-0.22154,777002,9975490,2,Peltre_2,Peltre 1989,El Progreso,Inundacion,,Lluvia,,Quito,"El agua lluvia arraza gran cantidad de materiales en las calles que están intransitables; las quebradas de Quito son un peligro en invierno produce inundaciones y en verano el agua putrefacta, causa muchas epidemias","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1902,3,19,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51588,-0.22003,776506,9975657,3,Peltre_3,Peltre 1989,La Patria,Inundacion,,Lluvia,,Casco Colonia,"los meses de enero a mayo en que hay lluvias fuertes, las calles de Quito no tiene canalización ni empedrado se transforman en verdaderos rios con arrastre de materiales y la formación de grandes huecos","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1904,4,4,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50526,-0.21969,777688,9975695,4,Peltre_4,Peltre 1989,La Patria,Hundimiento,hundimiento,Lluvia,lluvia y desaseo de vecinos,La Marin,"la carrera León intersección con la Oriental se ha formado una especie de quebrada, a consecuencia de las lluvias y del desaseo de los vecinos del lugar.","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1904,4,15,P17,PICHINCHA,C1701,QUITO,PR170125,PUENGASI,-78.49193,-0.24189,779173,9973238,5,Peltre_5,Peltre 1989,La Patria,Movimiento en Masa,Derrumbe,Lluvia,,s. Chiryacu - Luluncoto,"El carretero antiguio a los Chillos( act. Ana Paredes Alfaro) ha sufrido bastante deterioro a causa de las frecuentes lluvias, las que han ocasionado cuatro notables derrumes","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1904,5,6,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.5064,-0.21887,777562,9975785,6,Peltre_6,Peltre 1989,La Patria,Hundimiento,Hundimiento,,,La Marin,"En la segunda cuadra de la carrera Oriente, continua formandose una quebrada que amenaza eminente peligro","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1904,6,11,P17,PICHINCHA,C1701,QUITO,PR170126,QUITUMBE,-78.53981,-0.29349,773839,9967530,7,Peltre_7,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,Carrera Maldonado,"Se derrumbó una peña localizada en la carrera Maldonado, cayendo en una casa, destruyendola","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1906,7,7,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51355,-0.21883,776765,9975790,8,Peltre_8,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,,Quebrada de Jerusalen (Centro),A causa de la acumulación de humedad se cayó un puente en la quebrada Jerusalen,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1907,5,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51558,-0.22374,776539,9975247,9,Peltre_9,Peltre 1989,El Comercio,Hundimiento,Hundimiento,,,Benalcazar y Garcia Moreno,Se hundío una parte de la cuadra de la carrera Morales comprendida entre Benalzacar y García Moreno- El agua formó un ancho bloque por donde se desalojaba,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1909,3,7,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51295,-0.22329,776832,9975296,10,Peltre_10,Peltre 1989,El Comercio,Inundacion,,,,Casco Colonial,El mayor problema es que las calles no tienen canalización: por lo tanto en epoca de lluvia el caudal de las aguas corre por las calles. Se anota tambien que pronto comenzara la canalizacion de las calles,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
